bev_type,SSB_status,ghg,h2o
milk_almond,non_SSB,301.72786,121.92211
milk_soy,non_SSB,607.62931,10.03855
milk_other_plant,non_SSB,454.67859,65.98033
milk_an,non_SSB,1176.28222,540.4974
soda,non_SSB,49.23911,21.64173
juice,non_SSB,925.48911,206.80082
coffee,non_SSB,404.75928,10.52641
coffee_milk,non_SSB,790.52075,275.51191
tea,non_SSB,80.0456,10.17248
probiotic,non_SSB,271.98911,47.15232
water_bottled,non_SSB,37.91608,2.09749
water_tap,non_SSB,1,2.09333
water_ucsb,non_SSB,6.21348,2
milk_almond,SSB,305.32006,127.61215
milk_soy,SSB,628.95684,30.5138
milk_other_plant,SSB,467.13845,79.06298
milk_an,SSB,1184.62152,553.70685
soda,SSB,110.1268,79.68851
juice,SSB,955.74398,254.72453
coffee,SSB,414.11956,25.3531
coffee_milk,SSB,806.03724,300.09002
tea,SSB,114.15967,64.20916
probiotic,SSB,279.86867,59.63354
water_bottled,SSB,NA,NA
water_tap,SSB,NA,NA
water_ucsb,SSB,NA,NA