scen,SSB_status,cont_type,item,bev_type,"Climate
[ t CO2eq (100yr) ]","Water Use
[ M Liter (Blue) ]","Plastic Pollution
[ kg plastic ]"
scen0,non_SSB,alum_can,bev,Coffee,0.05400939020158046,0.0014046002481075137,0
scen0,non_SSB,glass,bev,Coffee,0.3841983307535339,0.009991689754036786,0
scen0,non_SSB,plastic,bev,Coffee,0.07993677615128562,0.0020788832311556993,0
scen0,SSB,alum_can,bev,Coffee,0.005731577049792099,3.5089684269220243e-4,0
scen0,SSB,glass,bev,Coffee,0.2650364896491473,0.016225982239824164,0
scen0,SSB,plastic,bev,Coffee,0.016202708316020546,9.919572120836325e-4,0
scen0,non_SSB,alum_can,bev,Coffee + milk,0.014588111816349997,0.005084241684757999,0
scen0,non_SSB,glass,bev,Coffee + milk,0.33507186424065,0.11677908429880199,0
scen0,non_SSB,plastic,bev,Coffee + milk,0.05694990535074999,0.019848153508309995,0
scen0,SSB,alum_can,bev,Coffee + milk,3.6594566318314046,1.362426398357747,0
scen0,SSB,glass,bev,Coffee + milk,12.224740604990917,4.551306652589074,0
scen0,SSB,plastic,bev,Coffee + milk,1.6303310378408777,0.6069770098367784,0
scen0,non_SSB,alum_can,bev,Juice,0.19491551899582654,0.043553931346704336,0
scen0,non_SSB,glass,bev,Juice,0.6174661165650772,0.137972989469183,0
scen0,non_SSB,plastic,bev,Juice,35.41475113749983,7.913436793795333,0
scen0,non_SSB,carton,bev,Juice,1.0532344581372723,0.23534555646477953,0
scen0,SSB,alum_can,bev,Juice,7.5615971708121235,2.0153140649491172,0
scen0,SSB,glass,bev,Juice,4.765698775237175,1.2701522646722454,0
scen0,SSB,plastic,bev,Juice,11.658014593632926,3.1070897125570047,0
scen0,SSB,carton,bev,Juice,0.6376025477297617,0.1699335938242228,0
scen0,SSB,bag_in_box,bev,Juice,61.06258354288421,16.27437704974811,0
scen0,non_SSB,carton,bev,Almond milk,0.1541919882958,0.062305855873299995,0
scen0,SSB,plastic,bev,Almond milk,2.424172147215311,1.013211577635162,0
scen0,SSB,carton,bev,Almond milk,18.56990080683689,7.761510878935339,0
scen0,non_SSB,plastic,bev,"Milk, animal",65.2382953706495,29.97675934289654,0
scen0,non_SSB,carton,bev,"Milk, animal",1.863006176983306,0.856044559479456,0
scen0,SSB,plastic,bev,"Milk, animal",0.5130572332082786,0.23980933966949322,0
scen0,SSB,carton,bev,"Milk, animal",0.3835105720554732,0.1792576170611303,0
scen0,SSB,bag_in_box,bev,"Milk, animal",26.55588683786185,12.412552196374879,0
scen0,non_SSB,carton,bev,Plant milk,0,0,0
scen0,non_SSB,bag_in_box,bev,Plant milk,0,0,0
scen0,SSB,carton,bev,Plant milk,1.1027616216373826,0.18664192604202018,0
scen0,SSB,bag_in_box,bev,Plant milk,2.419046538142118,0.40942257710577984,0
scen0,non_SSB,carton,bev,Soy milk,6.3966535011113015,0.10567812471650002,0
scen0,SSB,carton,bev,Soy milk,19.917868104804,0.9663140697799999,0
scen0,non_SSB,plastic,bev,Probiotic,0.11333867810432999,0.019648513200959998,0
scen0,SSB,glass,bev,Probiotic,1.5603685879712001,0.33247845357440003,0
scen0,non_SSB,alum_can,bev,Soda,1.140437140905361,0.5012485539532657,0
scen0,non_SSB,glass,bev,Soda,0.14182623364286984,0.06233591662026193,0
scen0,non_SSB,plastic,bev,Soda,0.9190369603669201,0.4039380434837589,0
scen0,non_SSB,bag_in_box,bev,Soda,1.7625046450613489,0.7746616389322135,0
scen0,SSB,alum_can,bev,Soda,2.284888769360063,1.6533612303820417,0
scen0,SSB,glass,bev,Soda,0.13573437576407543,0.09821832796757267,0
scen0,SSB,plastic,bev,Soda,7.917297962763054,5.729011265910053,0
scen0,SSB,carton,bev,Soda,3.2198873831680087e-4,2.3299326588301637e-4,0
scen0,SSB,bag_in_box,bev,Soda,19.4096838671505,14.044980758037651,0
scen0,non_SSB,alum_can,bev,Tea,0.07203950022030232,0.009155036319310755,0
scen0,non_SSB,glass,bev,Tea,0.14932000248078653,0.01897611784827338,0
scen0,non_SSB,plastic,bev,Tea,0.40995301710995224,0.052098289818436574,0
scen0,non_SSB,bag_in_box,bev,Tea,0.7253963637089588,0.09218595402997927,0
scen0,SSB,alum_can,bev,Tea,6.142540317312036,3.454874685961682,0
scen0,SSB,glass,bev,Tea,3.8694899748668306,2.176396453446478,0
scen0,SSB,plastic,bev,Tea,2.351684575997416,1.3227060941026743,0
scen0,SSB,bag_in_box,bev,Tea,0.1270494425199182,0.07145901860676569,0
scen0,non_SSB,plastic,bev,"Water, bottled",3.9618091123512,0.2191644018861,0
scen0,non_SSB,steel_bott_reuse,bev,"Water, Filtered tap",0,0,0
scen1,non_SSB,alum_can,bev,Coffee,0,0,0
scen1,non_SSB,glass,bev,Coffee,0,0,0
scen1,non_SSB,plastic,bev,Coffee,0,0,0
scen1,SSB,alum_can,bev,Coffee,0,0,0
scen1,SSB,glass,bev,Coffee,0,0,0
scen1,SSB,plastic,bev,Coffee,0,0,0
scen1,non_SSB,alum_can,bev,Coffee + milk,0,0,0
scen1,non_SSB,glass,bev,Coffee + milk,0,0,0
scen1,non_SSB,plastic,bev,Coffee + milk,0,0,0
scen1,SSB,alum_can,bev,Coffee + milk,0,0,0
scen1,SSB,glass,bev,Coffee + milk,0,0,0
scen1,SSB,plastic,bev,Coffee + milk,0,0,0
scen1,non_SSB,alum_can,bev,Juice,0,0,0
scen1,non_SSB,glass,bev,Juice,0,0,0
scen1,non_SSB,plastic,bev,Juice,0,0,0
scen1,non_SSB,carton,bev,Juice,0,0,0
scen1,SSB,alum_can,bev,Juice,0,0,0
scen1,SSB,glass,bev,Juice,0,0,0
scen1,SSB,plastic,bev,Juice,0,0,0
scen1,SSB,carton,bev,Juice,0,0,0
scen1,SSB,bag_in_box,bev,Juice,0,0,0
scen1,non_SSB,carton,bev,Almond milk,0,0,0
scen1,SSB,plastic,bev,Almond milk,0,0,0
scen1,SSB,carton,bev,Almond milk,0,0,0
scen1,non_SSB,plastic,bev,"Milk, animal",0,0,0
scen1,non_SSB,carton,bev,"Milk, animal",0,0,0
scen1,SSB,plastic,bev,"Milk, animal",0,0,0
scen1,SSB,carton,bev,"Milk, animal",0,0,0
scen1,SSB,bag_in_box,bev,"Milk, animal",0,0,0
scen1,non_SSB,carton,bev,Plant milk,0,0,0
scen1,non_SSB,bag_in_box,bev,Plant milk,0,0,0
scen1,SSB,carton,bev,Plant milk,0,0,0
scen1,SSB,bag_in_box,bev,Plant milk,0,0,0
scen1,non_SSB,carton,bev,Soy milk,0,0,0
scen1,SSB,carton,bev,Soy milk,0,0,0
scen1,non_SSB,plastic,bev,Probiotic,0,0,0
scen1,SSB,glass,bev,Probiotic,0,0,0
scen1,non_SSB,alum_can,bev,Soda,0,0,0
scen1,non_SSB,glass,bev,Soda,0,0,0
scen1,non_SSB,plastic,bev,Soda,0,0,0
scen1,non_SSB,bag_in_box,bev,Soda,0,0,0
scen1,SSB,alum_can,bev,Soda,0,0,0
scen1,SSB,glass,bev,Soda,0,0,0
scen1,SSB,plastic,bev,Soda,0,0,0
scen1,SSB,carton,bev,Soda,0,0,0
scen1,SSB,bag_in_box,bev,Soda,0,0,0
scen1,non_SSB,alum_can,bev,Tea,0,0,0
scen1,non_SSB,glass,bev,Tea,0,0,0
scen1,non_SSB,plastic,bev,Tea,0,0,0
scen1,non_SSB,bag_in_box,bev,Tea,0,0,0
scen1,SSB,alum_can,bev,Tea,0,0,0
scen1,SSB,glass,bev,Tea,0,0,0
scen1,SSB,plastic,bev,Tea,0,0,0
scen1,SSB,bag_in_box,bev,Tea,0,0,0
scen1,non_SSB,plastic,bev,"Water, bottled",0,0,0
scen1,non_SSB,steel_bott_reuse,bev,"Water, Filtered tap",5.845938304861199,1.8816953799999998,0
scen2_1,non_SSB,alum_can,bev,Coffee,0.16259816495033388,0.004228624355480729,0
scen2_1,non_SSB,glass,bev,Coffee,1.1566496737761356,0.030080517715452632,0
scen2_1,non_SSB,plastic,bev,Coffee,0.2406539504655306,0.006258589428066642,0
scen2_1,SSB,alum_can,bev,Coffee,0,0,0
scen2_1,SSB,glass,bev,Coffee,0,0,0
scen2_1,SSB,plastic,bev,Coffee,0,0,0
scen2_1,non_SSB,alum_can,bev,Coffee + milk,0.04391831188769275,0.01530638884830529,0
scen2_1,non_SSB,glass,bev,Coffee + milk,1.0087522514064096,0.3515698474730487,0
scen2_1,non_SSB,plastic,bev,Coffee + milk,0.17145081808089785,0.05975395631364604,0
scen2_1,SSB,alum_can,bev,Coffee + milk,0,0,0
scen2_1,SSB,glass,bev,Coffee + milk,0,0,0
scen2_1,SSB,plastic,bev,Coffee + milk,0,0,0
scen2_1,non_SSB,alum_can,bev,Juice,0.5868050787042649,0.13112177133689507,0
scen2_1,non_SSB,glass,bev,Juice,1.8589194692904116,0.4153761145425276,0
scen2_1,non_SSB,plastic,bev,Juice,106.61827203701264,23.823884955531554,0
scen2_1,non_SSB,carton,bev,Juice,3.1708266857628677,0.7085221766614233,0
scen2_1,SSB,alum_can,bev,Juice,0,0,0
scen2_1,SSB,glass,bev,Juice,0,0,0
scen2_1,SSB,plastic,bev,Juice,0,0,0
scen2_1,SSB,carton,bev,Juice,0,0,0
scen2_1,SSB,bag_in_box,bev,Juice,0,0,0
scen2_1,non_SSB,carton,bev,Almond milk,0.46420529533140004,0.1875759470139,0
scen2_1,SSB,plastic,bev,Almond milk,0,0,0
scen2_1,SSB,carton,bev,Almond milk,0,0,0
scen2_1,non_SSB,plastic,bev,"Milk, animal",196.40387371948597,90.24686532736207,0
scen2_1,non_SSB,carton,bev,"Milk, animal",5.608693909673636,2.5771744433699206,0
scen2_1,SSB,plastic,bev,"Milk, animal",0,0,0
scen2_1,SSB,carton,bev,"Milk, animal",0,0,0
scen2_1,SSB,bag_in_box,bev,"Milk, animal",0,0,0
scen2_1,non_SSB,carton,bev,Plant milk,0,0,0
scen2_1,non_SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_1,SSB,carton,bev,Plant milk,0,0,0
scen2_1,SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_1,non_SSB,carton,bev,Soy milk,19.2575106537266,0.31815035975300004,0
scen2_1,SSB,carton,bev,Soy milk,0,0,0
scen2_1,non_SSB,plastic,bev,Probiotic,0.3412130583861,0.0591530569632,0
scen2_1,SSB,glass,bev,Probiotic,0,0,0
scen2_1,non_SSB,alum_can,bev,Soda,3.4333556835552757,1.509039393633815,0
scen2_1,non_SSB,glass,bev,Soda,0.4269765407398233,0.18766608517142686,0
scen2_1,non_SSB,plastic,bev,Soda,2.766816914405436,1.2160801570336173,0
scen2_1,non_SSB,bag_in_box,bev,Soda,5.306127907768763,2.33216618914104,0
scen2_1,SSB,alum_can,bev,Soda,0,0,0
scen2_1,SSB,glass,bev,Soda,0,0,0
scen2_1,SSB,plastic,bev,Soda,0,0,0
scen2_1,SSB,carton,bev,Soda,0,0,0
scen2_1,SSB,bag_in_box,bev,Soda,0,0,0
scen2_1,non_SSB,alum_can,bev,Tea,0.21687930769247388,0.027561795025779514,0
scen2_1,non_SSB,glass,bev,Tea,0.4495369715730596,0.057128759764278336,0
scen2_1,non_SSB,plastic,bev,Tea,1.2341885530209502,0.15684507795349847,0
scen2_1,non_SSB,bag_in_box,bev,Tea,2.1838499806735157,0.2775314352244437,0
scen2_1,SSB,alum_can,bev,Tea,0,0,0
scen2_1,SSB,glass,bev,Tea,0,0,0
scen2_1,SSB,plastic,bev,Tea,0,0,0
scen2_1,SSB,bag_in_box,bev,Tea,0,0,0
scen2_1,non_SSB,plastic,bev,"Water, bottled",11.927268868816002,0.659807848798,0
scen2_1,non_SSB,steel_bott_reuse,bev,"Water, Filtered tap",0,0,0
scen2_2,non_SSB,alum_can,bev,Coffee,0.08324575450371163,0.0021649384855744755,0
scen2_2,non_SSB,glass,bev,Coffee,0.5921725796805717,0.015400391473360083,0
scen2_2,non_SSB,plastic,bev,Coffee,0.12320815359091665,0.00320422434796544,0
scen2_2,SSB,alum_can,bev,Coffee,0,0,0
scen2_2,SSB,glass,bev,Coffee,0,0,0
scen2_2,SSB,plastic,bev,Coffee,0,0,0
scen2_2,non_SSB,alum_can,bev,Coffee + milk,0.6308677605465736,0.21986972722171952,0
scen2_2,non_SSB,glass,bev,Coffee + milk,14.490294513560562,5.050150445631681,0
scen2_2,non_SSB,plastic,bev,Coffee + milk,2.4628176493478686,0.8583400177080002,0
scen2_2,SSB,alum_can,bev,Coffee + milk,0,0,0
scen2_2,SSB,glass,bev,Coffee + milk,0,0,0
scen2_2,SSB,plastic,bev,Coffee + milk,0,0,0
scen2_2,non_SSB,alum_can,bev,Juice,0.6287292043159028,0.14048972981483945,0
scen2_2,non_SSB,glass,bev,Juice,1.9917294536629684,0.4450525454974331,0
scen2_2,non_SSB,plastic,bev,Juice,114.23558482381662,25.52597578889376,0
scen2_2,non_SSB,carton,bev,Juice,3.3973655162722944,0.7591423464775656,0
scen2_2,SSB,alum_can,bev,Juice,0,0,0
scen2_2,SSB,glass,bev,Juice,0,0,0
scen2_2,SSB,plastic,bev,Juice,0,0,0
scen2_2,SSB,carton,bev,Juice,0,0,0
scen2_2,SSB,bag_in_box,bev,Juice,0,0,0
scen2_2,non_SSB,carton,bev,Almond milk,20.901262145133998,8.445776211709001,0
scen2_2,SSB,plastic,bev,Almond milk,0,0,0
scen2_2,SSB,carton,bev,Almond milk,0,0,0
scen2_2,non_SSB,plastic,bev,"Milk, animal",91.74065668397446,42.15449793331129,0
scen2_2,non_SSB,carton,bev,"Milk, animal",2.6198325555827244,1.2038035266127018,0
scen2_2,SSB,plastic,bev,"Milk, animal",0,0,0
scen2_2,SSB,carton,bev,"Milk, animal",0,0,0
scen2_2,SSB,bag_in_box,bev,"Milk, animal",0,0,0
scen2_2,non_SSB,carton,bev,Plant milk,1.073347953336315,0.15575805354273373,0
scen2_2,non_SSB,bag_in_box,bev,Plant milk,2.354523951318585,0.34167491216356627,0
scen2_2,SSB,carton,bev,Plant milk,0,0,0
scen2_2,SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_2,non_SSB,carton,bev,Soy milk,25.639113176829202,0.423579829586,0
scen2_2,SSB,carton,bev,Soy milk,0,0,0
scen2_2,non_SSB,plastic,bev,Probiotic,1.6297750664666,0.2825395305792,0
scen2_2,SSB,glass,bev,Probiotic,0,0,0
scen2_2,non_SSB,alum_can,bev,Soda,4.967212375666665,2.183204958148848,0
scen2_2,non_SSB,glass,bev,Soda,0.6177289371563145,0.27150618423289796,0
scen2_2,non_SSB,plastic,bev,Soda,4.0028964328586945,1.7593657525063107,0
scen2_2,non_SSB,bag_in_box,bev,Soda,7.676648340450025,3.374064857975043,0
scen2_2,SSB,alum_can,bev,Soda,0,0,0
scen2_2,SSB,glass,bev,Soda,0,0,0
scen2_2,SSB,plastic,bev,Soda,0,0,0
scen2_2,SSB,carton,bev,Soda,0,0,0
scen2_2,SSB,bag_in_box,bev,Soda,0,0,0
scen2_2,non_SSB,alum_can,bev,Tea,0.5370875161192443,0.06825499485259266,0
scen2_2,non_SSB,glass,bev,Tea,1.1132491063107555,0.14147566223457675,0
scen2_2,non_SSB,plastic,bev,Tea,3.056387773538753,0.38841664624373473,0
scen2_2,non_SSB,bag_in_box,bev,Tea,5.408162605167245,0.6872885697378958,0
scen2_2,SSB,alum_can,bev,Tea,0,0,0
scen2_2,SSB,glass,bev,Tea,0,0,0
scen2_2,SSB,plastic,bev,Tea,0,0,0
scen2_2,SSB,bag_in_box,bev,Tea,0,0,0
scen2_2,non_SSB,plastic,bev,"Water, bottled",3.9618091123512,0.2191644018861,0
scen2_2,non_SSB,steel_bott_reuse,bev,"Water, Filtered tap",0,0,0
scen2_3,non_SSB,alum_can,bev,Coffee,0.05400939020158046,0.0014046002481075137,0
scen2_3,non_SSB,glass,bev,Coffee,0.3841983307535339,0.009991689754036786,0
scen2_3,non_SSB,plastic,bev,Coffee,0.07993677615128562,0.0020788832311556993,0
scen2_3,SSB,alum_can,bev,Coffee,0,0,0
scen2_3,SSB,glass,bev,Coffee,0,0,0
scen2_3,SSB,plastic,bev,Coffee,0,0,0
scen2_3,non_SSB,alum_can,bev,Coffee + milk,0.014588111816349997,0.005084241684757999,0
scen2_3,non_SSB,glass,bev,Coffee + milk,0.33507186424065,0.11677908429880199,0
scen2_3,non_SSB,plastic,bev,Coffee + milk,0.05694990535074999,0.019848153508309995,0
scen2_3,SSB,alum_can,bev,Coffee + milk,0,0,0
scen2_3,SSB,glass,bev,Coffee + milk,0,0,0
scen2_3,SSB,plastic,bev,Coffee + milk,0,0,0
scen2_3,non_SSB,alum_can,bev,Juice,0.19491551899582654,0.043553931346704336,0
scen2_3,non_SSB,glass,bev,Juice,0.6174661165650772,0.137972989469183,0
scen2_3,non_SSB,plastic,bev,Juice,35.41475113749983,7.913436793795333,0
scen2_3,non_SSB,carton,bev,Juice,1.0532344581372723,0.23534555646477953,0
scen2_3,SSB,alum_can,bev,Juice,0,0,0
scen2_3,SSB,glass,bev,Juice,0,0,0
scen2_3,SSB,plastic,bev,Juice,0,0,0
scen2_3,SSB,carton,bev,Juice,0,0,0
scen2_3,SSB,bag_in_box,bev,Juice,0,0,0
scen2_3,non_SSB,carton,bev,Almond milk,0.1541919882958,0.062305855873299995,0
scen2_3,SSB,plastic,bev,Almond milk,0,0,0
scen2_3,SSB,carton,bev,Almond milk,0,0,0
scen2_3,non_SSB,plastic,bev,"Milk, animal",65.2382953706495,29.97675934289654,0
scen2_3,non_SSB,carton,bev,"Milk, animal",1.863006176983306,0.856044559479456,0
scen2_3,SSB,plastic,bev,"Milk, animal",0,0,0
scen2_3,SSB,carton,bev,"Milk, animal",0,0,0
scen2_3,SSB,bag_in_box,bev,"Milk, animal",0,0,0
scen2_3,non_SSB,carton,bev,Plant milk,0,0,0
scen2_3,non_SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_3,SSB,carton,bev,Plant milk,0,0,0
scen2_3,SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_3,non_SSB,carton,bev,Soy milk,6.3966535011113015,0.10567812471650002,0
scen2_3,SSB,carton,bev,Soy milk,0,0,0
scen2_3,non_SSB,plastic,bev,Probiotic,0.11333867810432999,0.019648513200959998,0
scen2_3,SSB,glass,bev,Probiotic,0,0,0
scen2_3,non_SSB,alum_can,bev,Soda,1.140437140905361,0.5012485539532657,0
scen2_3,non_SSB,glass,bev,Soda,0.14182623364286984,0.06233591662026193,0
scen2_3,non_SSB,plastic,bev,Soda,0.9190369603669201,0.4039380434837589,0
scen2_3,non_SSB,bag_in_box,bev,Soda,1.7625046450613489,0.7746616389322135,0
scen2_3,SSB,alum_can,bev,Soda,0,0,0
scen2_3,SSB,glass,bev,Soda,0,0,0
scen2_3,SSB,plastic,bev,Soda,0,0,0
scen2_3,SSB,carton,bev,Soda,0,0,0
scen2_3,SSB,bag_in_box,bev,Soda,0,0,0
scen2_3,non_SSB,alum_can,bev,Tea,0.07203950022030232,0.009155036319310755,0
scen2_3,non_SSB,glass,bev,Tea,0.14932000248078653,0.01897611784827338,0
scen2_3,non_SSB,plastic,bev,Tea,0.40995301710995224,0.052098289818436574,0
scen2_3,non_SSB,bag_in_box,bev,Tea,0.7253963637089588,0.09218595402997927,0
scen2_3,SSB,alum_can,bev,Tea,0,0,0
scen2_3,SSB,glass,bev,Tea,0,0,0
scen2_3,SSB,plastic,bev,Tea,0,0,0
scen2_3,SSB,bag_in_box,bev,Tea,0,0,0
scen2_3,non_SSB,plastic,bev,"Water, bottled",27.785694732589597,1.5370844466163,0
scen2_3,non_SSB,steel_bott_reuse,bev,"Water, Filtered tap",0,0,0
scen2_4,non_SSB,alum_can,bev,Coffee,0.05400939020158046,0.0014046002481075137,0
scen2_4,non_SSB,glass,bev,Coffee,0.3841983307535339,0.009991689754036786,0
scen2_4,non_SSB,plastic,bev,Coffee,0.07993677615128562,0.0020788832311556993,0
scen2_4,SSB,alum_can,bev,Coffee,0,0,0
scen2_4,SSB,glass,bev,Coffee,0,0,0
scen2_4,SSB,plastic,bev,Coffee,0,0,0
scen2_4,non_SSB,alum_can,bev,Coffee + milk,0.014588111816349997,0.005084241684757999,0
scen2_4,non_SSB,glass,bev,Coffee + milk,0.33507186424065,0.11677908429880199,0
scen2_4,non_SSB,plastic,bev,Coffee + milk,0.05694990535074999,0.019848153508309995,0
scen2_4,SSB,alum_can,bev,Coffee + milk,0,0,0
scen2_4,SSB,glass,bev,Coffee + milk,0,0,0
scen2_4,SSB,plastic,bev,Coffee + milk,0,0,0
scen2_4,non_SSB,alum_can,bev,Juice,0.19491551899582654,0.043553931346704336,0
scen2_4,non_SSB,glass,bev,Juice,0.6174661165650772,0.137972989469183,0
scen2_4,non_SSB,plastic,bev,Juice,35.41475113749983,7.913436793795333,0
scen2_4,non_SSB,carton,bev,Juice,1.0532344581372723,0.23534555646477953,0
scen2_4,SSB,alum_can,bev,Juice,0,0,0
scen2_4,SSB,glass,bev,Juice,0,0,0
scen2_4,SSB,plastic,bev,Juice,0,0,0
scen2_4,SSB,carton,bev,Juice,0,0,0
scen2_4,SSB,bag_in_box,bev,Juice,0,0,0
scen2_4,non_SSB,carton,bev,Almond milk,0.1541919882958,0.062305855873299995,0
scen2_4,SSB,plastic,bev,Almond milk,0,0,0
scen2_4,SSB,carton,bev,Almond milk,0,0,0
scen2_4,non_SSB,plastic,bev,"Milk, animal",65.2382953706495,29.97675934289654,0
scen2_4,non_SSB,carton,bev,"Milk, animal",1.863006176983306,0.856044559479456,0
scen2_4,SSB,plastic,bev,"Milk, animal",0,0,0
scen2_4,SSB,carton,bev,"Milk, animal",0,0,0
scen2_4,SSB,bag_in_box,bev,"Milk, animal",0,0,0
scen2_4,non_SSB,carton,bev,Plant milk,0,0,0
scen2_4,non_SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_4,SSB,carton,bev,Plant milk,0,0,0
scen2_4,SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_4,non_SSB,carton,bev,Soy milk,6.3966535011113015,0.10567812471650002,0
scen2_4,SSB,carton,bev,Soy milk,0,0,0
scen2_4,non_SSB,plastic,bev,Probiotic,0.11333867810432999,0.019648513200959998,0
scen2_4,SSB,glass,bev,Probiotic,0,0,0
scen2_4,non_SSB,alum_can,bev,Soda,1.140437140905361,0.5012485539532657,0
scen2_4,non_SSB,glass,bev,Soda,0.14182623364286984,0.06233591662026193,0
scen2_4,non_SSB,plastic,bev,Soda,0.9190369603669201,0.4039380434837589,0
scen2_4,non_SSB,bag_in_box,bev,Soda,1.7625046450613489,0.7746616389322135,0
scen2_4,SSB,alum_can,bev,Soda,0,0,0
