scen,bev_type,SSB_status,cont_type,vol
scen0,coffee,non_SSB,alum_can,133.43582931954137
scen0,coffee,non_SSB,glass,949.2020312753148
scen0,coffee,non_SSB,plastic,197.49213940514377
scen0,coffee,SSB,alum_can,13.84039201092578
scen0,coffee,SSB,glass,639.9999305735457
scen0,coffee,SSB,plastic,39.12567741552837
scen0,coffee_milk,non_SSB,alum_can,18.453799999999998
scen0,coffee_milk,non_SSB,glass,423.8622
scen0,coffee_milk,non_SSB,plastic,72.04099999999998
scen0,coffee_milk,SSB,alum_can,4540.05900748631
scen0,coffee_milk,SSB,glass,15166.471222831982
scen0,coffee_milk,SSB,plastic,2022.6497696817055
scen0,juice,non_SSB,alum_can,210.60811725361796
scen0,juice,non_SSB,glass,667.1781546571383
scen0,juice,non_SSB,plastic,38265.983634858574
scen0,juice,non_SSB,carton,1138.0300932306727
scen0,juice,SSB,alum_can,7911.739261817923
scen0,juice,SSB,glass,4986.375928035849
scen0,juice,SSB,plastic,12197.842557829059
scen0,juice,SSB,carton,667.1269305089023
scen0,juice,SSB,bag_in_box,63890.105321808274
scen0,milk_almond,non_SSB,carton,511.03
scen0,milk_almond,SSB,plastic,7939.773584530642
scen0,milk_almond,SSB,carton,60821.096415469365
scen0,milk_an,non_SSB,plastic,55461.43116117958
scen0,milk_an,non_SSB,carton,1583.80883882042
scen0,milk_an,SSB,plastic,433.0980186889384
scen0,milk_an,SSB,carton,323.741013969992
scen0,milk_an,SSB,bag_in_box,22417.19096734107
scen0,milk_other_plant,non_SSB,carton,0
scen0,milk_other_plant,non_SSB,bag_in_box,0
scen0,milk_other_plant,SSB,carton,2360.674060628883
scen0,milk_other_plant,SSB,bag_in_box,5178.4359393711175
scen0,milk_soy,non_SSB,carton,10527.230000000001
scen0,milk_soy,SSB,carton,31668.1
scen0,probiotic,non_SSB,plastic,416.703
scen0,probiotic,SSB,glass,5575.360000000001
scen0,soda,non_SSB,alum_can,23161.205409792365
scen0,soda,non_SSB,glass,2880.3573753235964
scen0,soda,non_SSB,plastic,18664.776036100575
scen0,soda,non_SSB,bag_in_box,35794.81117878347
scen0,soda,SSB,alum_can,20747.799530723336
scen0,soda,SSB,glass,1232.5281018251274
scen0,soda,SSB,plastic,71892.5635064585
scen0,soda,SSB,carton,2.9238000043295624
scen0,soda,SSB,bag_in_box,176248.50506098874
scen0,tea,non_SSB,alum_can,899.9807637184596
scen0,tea,non_SSB,glass,1865.4367320725505
scen0,tea,non_SSB,plastic,5121.493462600721
scen0,tea,non_SSB,bag_in_box,9062.289041608268
scen0,tea,SSB,alum_can,53806.57037035965
scen0,tea,SSB,glass,33895.42011523711
scen0,tea,SSB,plastic,20599.959477785946
scen0,tea,SSB,bag_in_box,1112.910036617294
scen0,water_bottled,non_SSB,plastic,104488.89
scen0,water_ucsb,non_SSB,steel_bott_reuse,0
scen1,coffee,non_SSB,alum_can,0
scen1,coffee,non_SSB,glass,0
scen1,coffee,non_SSB,plastic,0
scen1,coffee,SSB,alum_can,0
scen1,coffee,SSB,glass,0
scen1,coffee,SSB,plastic,0
scen1,coffee_milk,non_SSB,alum_can,0
scen1,coffee_milk,non_SSB,glass,0
scen1,coffee_milk,non_SSB,plastic,0
scen1,coffee_milk,SSB,alum_can,0
scen1,coffee_milk,SSB,glass,0
scen1,coffee_milk,SSB,plastic,0
scen1,juice,non_SSB,alum_can,0
scen1,juice,non_SSB,glass,0
scen1,juice,non_SSB,plastic,0
scen1,juice,non_SSB,carton,0
scen1,juice,SSB,alum_can,0
scen1,juice,SSB,glass,0
scen1,juice,SSB,plastic,0
scen1,juice,SSB,carton,0
scen1,juice,SSB,bag_in_box,0
scen1,milk_almond,non_SSB,carton,0
scen1,milk_almond,SSB,plastic,0
scen1,milk_almond,SSB,carton,0
scen1,milk_an,non_SSB,plastic,0
scen1,milk_an,non_SSB,carton,0
scen1,milk_an,SSB,plastic,0
scen1,milk_an,SSB,carton,0
scen1,milk_an,SSB,bag_in_box,0
scen1,milk_other_plant,non_SSB,carton,0
scen1,milk_other_plant,non_SSB,bag_in_box,0
scen1,milk_other_plant,SSB,carton,0
scen1,milk_other_plant,SSB,bag_in_box,0
scen1,milk_soy,non_SSB,carton,0
scen1,milk_soy,SSB,carton,0
scen1,probiotic,non_SSB,plastic,0
scen1,probiotic,SSB,glass,0
scen1,soda,non_SSB,alum_can,0
scen1,soda,non_SSB,glass,0
scen1,soda,non_SSB,plastic,0
scen1,soda,non_SSB,bag_in_box,0
scen1,soda,SSB,alum_can,0
scen1,soda,SSB,glass,0
scen1,soda,SSB,plastic,0
scen1,soda,SSB,carton,0
scen1,soda,SSB,bag_in_box,0
scen1,tea,non_SSB,alum_can,0
scen1,tea,non_SSB,glass,0
scen1,tea,non_SSB,plastic,0
scen1,tea,non_SSB,bag_in_box,0
scen1,tea,SSB,alum_can,0
scen1,tea,SSB,glass,0
scen1,tea,SSB,plastic,0
scen1,tea,SSB,bag_in_box,0
scen1,water_bottled,non_SSB,plastic,0
scen1,water_ucsb,non_SSB,steel_bott_reuse,940847.69
scen2_1,coffee,non_SSB,alum_can,401.7157184149895
scen2_1,coffee,non_SSB,glass,2857.623607236715
scen2_1,coffee,non_SSB,plastic,594.5606743482956
scen2_1,coffee,SSB,alum_can,0
scen2_1,coffee,SSB,glass,0
scen2_1,coffee,SSB,plastic,0
scen2_1,coffee_milk,non_SSB,alum_can,55.55617849081475
scen2_1,coffee_milk,non_SSB,glass,1276.0604340953853
scen2_1,coffee_milk,non_SSB,plastic,216.88338741380014
scen2_1,coffee_milk,SSB,alum_can,0
scen2_1,coffee_milk,SSB,glass,0
scen2_1,coffee_milk,SSB,plastic,0
scen2_1,juice,non_SSB,alum_can,634.048604531138
scen2_1,juice,non_SSB,glass,2008.5805972264889
scen2_1,juice,non_SSB,plastic,115202.08167226588
scen2_1,juice,non_SSB,carton,3426.109125976499
scen2_1,juice,SSB,alum_can,0
scen2_1,juice,SSB,glass,0
scen2_1,juice,SSB,plastic,0
scen2_1,juice,SSB,carton,0
scen2_1,juice,SSB,bag_in_box,0
scen2_1,milk_almond,non_SSB,carton,1538.49
scen2_1,milk_almond,SSB,plastic,0
scen2_1,milk_almond,SSB,carton,0
scen2_1,milk_an,non_SSB,plastic,166970.02673345344
scen2_1,milk_an,non_SSB,carton,4768.153266546557
scen2_1,milk_an,SSB,plastic,0
scen2_1,milk_an,SSB,carton,0
scen2_1,milk_an,SSB,bag_in_box,0
scen2_1,milk_other_plant,non_SSB,carton,0
scen2_1,milk_other_plant,non_SSB,bag_in_box,0
scen2_1,milk_other_plant,SSB,carton,0
scen2_1,milk_other_plant,SSB,bag_in_box,0
scen2_1,milk_soy,non_SSB,carton,31692.86
scen2_1,milk_soy,SSB,carton,0
scen2_1,probiotic,non_SSB,plastic,1254.51
scen2_1,probiotic,SSB,glass,0
scen2_1,soda,non_SSB,alum_can,69728.22383579386
scen2_1,soda,non_SSB,glass,8671.49184337051
scen2_1,soda,non_SSB,plastic,56191.44851329434
scen2_1,soda,non_SSB,bag_in_box,107762.46580754129
scen2_1,soda,SSB,alum_can,0
scen2_1,soda,SSB,glass,0
scen2_1,soda,SSB,plastic,0
scen2_1,soda,SSB,carton,0
scen2_1,soda,SSB,bag_in_box,0
scen2_1,tea,non_SSB,alum_can,2709.4469613879323
scen2_1,tea,non_SSB,glass,5616.011018382767
scen2_1,tea,non_SSB,plastic,15418.568328814454
scen2_1,tea,non_SSB,bag_in_box,27282.573691414844
scen2_1,tea,SSB,alum_can,0
scen2_1,tea,SSB,glass,0
scen2_1,tea,SSB,plastic,0
scen2_1,tea,SSB,bag_in_box,0
scen2_1,water_bottled,non_SSB,plastic,314570.2
scen2_1,water_ucsb,non_SSB,steel_bott_reuse,0
scen2_2,coffee,non_SSB,alum_can,205.6673154071023
scen2_2,coffee,non_SSB,glass,1463.0240959035496
scen2_2,coffee,non_SSB,plastic,304.39858868934806
scen2_2,coffee,SSB,alum_can,0
scen2_2,coffee,SSB,glass,0
scen2_2,coffee,SSB,plastic,0
scen2_2,coffee_milk,non_SSB,alum_can,798.0407352325332
scen2_2,coffee_milk,non_SSB,glass,18330.062194522485
scen2_2,coffee_milk,non_SSB,plastic,3115.4370702449855
scen2_2,coffee_milk,SSB,alum_can,0
scen2_2,coffee_milk,SSB,glass,0
scen2_2,coffee_milk,SSB,plastic,0
scen2_2,juice,non_SSB,alum_can,679.3480307033574
scen2_2,juice,non_SSB,glass,2152.0830792519737
scen2_2,juice,non_SSB,plastic,123432.66235063168
scen2_2,juice,non_SSB,carton,3670.8865394129753
scen2_2,juice,SSB,alum_can,0
scen2_2,juice,SSB,glass,0
scen2_2,juice,SSB,plastic,0
scen2_2,juice,SSB,carton,0
scen2_2,juice,SSB,bag_in_box,0
scen2_2,milk_almond,non_SSB,carton,69271.9
scen2_2,milk_almond,SSB,plastic,0
scen2_2,milk_almond,SSB,carton,0
scen2_2,milk_an,non_SSB,plastic,77992.04572179494
scen2_2,milk_an,non_SSB,carton,2227.214278205042
scen2_2,milk_an,SSB,plastic,0
scen2_2,milk_an,SSB,carton,0
scen2_2,milk_an,SSB,bag_in_box,0
scen2_2,milk_other_plant,non_SSB,carton,2360.674060628883
scen2_2,milk_other_plant,non_SSB,bag_in_box,5178.4359393711175
scen2_2,milk_other_plant,SSB,carton,0
scen2_2,milk_other_plant,SSB,bag_in_box,0
scen2_2,milk_soy,non_SSB,carton,42195.32
scen2_2,milk_soy,SSB,carton,0
scen2_2,probiotic,non_SSB,plastic,5992.06
scen2_2,probiotic,SSB,glass,0
scen2_2,soda,non_SSB,alum_can,100879.41020190384
scen2_2,soda,non_SSB,glass,12545.49355494676
scen2_2,soda,non_SSB,plastic,81295.06063084192
scen2_2,soda,non_SSB,bag_in_box,155905.5056123075
scen2_2,soda,SSB,alum_can,0
scen2_2,soda,SSB,glass,0
scen2_2,soda,SSB,plastic,0
scen2_2,soda,SSB,carton,0
scen2_2,soda,SSB,bag_in_box,0
scen2_2,tea,non_SSB,alum_can,6709.769382942277
scen2_2,tea,non_SSB,glass,13907.686447609309
scen2_2,tea,non_SSB,plastic,38183.08281203156
scen2_2,tea,non_SSB,bag_in_box,67563.52135741684
scen2_2,tea,SSB,alum_can,0
scen2_2,tea,SSB,glass,0
scen2_2,tea,SSB,plastic,0
scen2_2,tea,SSB,bag_in_box,0
scen2_2,water_bottled,non_SSB,plastic,104488.89
scen2_2,water_ucsb,non_SSB,steel_bott_reuse,0
scen2_3,coffee,non_SSB,alum_can,133.43582931954137
scen2_3,coffee,non_SSB,glass,949.2020312753148
scen2_3,coffee,non_SSB,plastic,197.49213940514377
scen2_3,coffee,SSB,alum_can,0
scen2_3,coffee,SSB,glass,0
scen2_3,coffee,SSB,plastic,0
scen2_3,coffee_milk,non_SSB,alum_can,18.453799999999998
scen2_3,coffee_milk,non_SSB,glass,423.8622
scen2_3,coffee_milk,non_SSB,plastic,72.04099999999998
scen2_3,coffee_milk,SSB,alum_can,0
scen2_3,coffee_milk,SSB,glass,0
scen2_3,coffee_milk,SSB,plastic,0
scen2_3,juice,non_SSB,alum_can,210.60811725361796
scen2_3,juice,non_SSB,glass,667.1781546571383
scen2_3,juice,non_SSB,plastic,38265.983634858574
scen2_3,juice,non_SSB,carton,1138.0300932306727
scen2_3,juice,SSB,alum_can,0
scen2_3,juice,SSB,glass,0
scen2_3,juice,SSB,plastic,0
scen2_3,juice,SSB,carton,0
scen2_3,juice,SSB,bag_in_box,0
scen2_3,milk_almond,non_SSB,carton,511.03
scen2_3,milk_almond,SSB,plastic,0
scen2_3,milk_almond,SSB,carton,0
scen2_3,milk_an,non_SSB,plastic,55461.43116117958
scen2_3,milk_an,non_SSB,carton,1583.80883882042
scen2_3,milk_an,SSB,plastic,0
scen2_3,milk_an,SSB,carton,0
scen2_3,milk_an,SSB,bag_in_box,0
scen2_3,milk_other_plant,non_SSB,carton,0
scen2_3,milk_other_plant,non_SSB,bag_in_box,0
scen2_3,milk_other_plant,SSB,carton,0
scen2_3,milk_other_plant,SSB,bag_in_box,0
scen2_3,milk_soy,non_SSB,carton,10527.230000000001
scen2_3,milk_soy,SSB,carton,0
scen2_3,probiotic,non_SSB,plastic,416.703
scen2_3,probiotic,SSB,glass,0
scen2_3,soda,non_SSB,alum_can,23161.205409792365
scen2_3,soda,non_SSB,glass,2880.3573753235964
scen2_3,soda,non_SSB,plastic,18664.776036100575
scen2_3,soda,non_SSB,bag_in_box,35794.81117878347
scen2_3,soda,SSB,alum_can,0
scen2_3,soda,SSB,glass,0
scen2_3,soda,SSB,plastic,0
scen2_3,soda,SSB,carton,0
scen2_3,soda,SSB,bag_in_box,0
scen2_3,tea,non_SSB,alum_can,899.9807637184596
scen2_3,tea,non_SSB,glass,1865.4367320725505
scen2_3,tea,non_SSB,plastic,5121.493462600721
scen2_3,tea,non_SSB,bag_in_box,9062.289041608268
scen2_3,tea,SSB,alum_can,0
scen2_3,tea,SSB,glass,0
scen2_3,tea,SSB,plastic,0
scen2_3,tea,SSB,bag_in_box,0
scen2_3,water_bottled,non_SSB,plastic,732820.87
scen2_3,water_ucsb,non_SSB,steel_bott_reuse,0
scen2_4,coffee,non_SSB,alum_can,133.43582931954137
scen2_4,coffee,non_SSB,glass,949.2020312753148
scen2_4,coffee,non_SSB,plastic,197.49213940514377
scen2_4,coffee,SSB,alum_can,0
scen2_4,coffee,SSB,glass,0
scen2_4,coffee,SSB,plastic,0
scen2_4,coffee_milk,non_SSB,alum_can,18.453799999999998
scen2_4,coffee_milk,non_SSB,glass,423.8622
scen2_4,coffee_milk,non_SSB,plastic,72.04099999999998
scen2_4,coffee_milk,SSB,alum_can,0
scen2_4,coffee_milk,SSB,glass,0
scen2_4,coffee_milk,SSB,plastic,0
scen2_4,juice,non_SSB,alum_can,210.60811725361796
scen2_4,juice,non_SSB,glass,667.1781546571383
scen2_4,juice,non_SSB,plastic,38265.983634858574
scen2_4,juice,non_SSB,carton,1138.0300932306727
scen2_4,juice,SSB,alum_can,0
scen2_4,juice,SSB,glass,0
scen2_4,juice,SSB,plastic,0
scen2_4,juice,SSB,carton,0
scen2_4,juice,SSB,bag_in_box,0
scen2_4,milk_almond,non_SSB,carton,511.03
scen2_4,milk_almond,SSB,plastic,0
scen2_4,milk_almond,SSB,carton,0
scen2_4,milk_an,non_SSB,plastic,55461.43116117958
scen2_4,milk_an,non_SSB,carton,1583.80883882042
scen2_4,milk_an,SSB,plastic,0
scen2_4,milk_an,SSB,carton,0
scen2_4,milk_an,SSB,bag_in_box,0
scen2_4,milk_other_plant,non_SSB,carton,0
scen2_4,milk_other_plant,non_SSB,bag_in_box,0
scen2_4,milk_other_plant,SSB,carton,0
scen2_4,milk_other_plant,SSB,bag_in_box,0
scen2_4,milk_soy,non_SSB,carton,10527.230000000001
scen2_4,milk_soy,SSB,carton,0
scen2_4,probiotic,non_SSB,plastic,416.703
scen2_4,probiotic,SSB,glass,0
scen2_4,soda,non_SSB,alum_can,23161.205409792365
scen2_4,soda,non_SSB,glass,2880.3573753235964
scen2_4,soda,non_SSB,plastic,18664.776036100575
scen2_4,soda,non_SSB,bag_in_box,35794.81117878347
scen2_4,soda,SSB,alum_can,0
scen2_4,soda,SSB,glass,0
scen2_4,soda,SSB,plastic,0
scen2_4,soda,SSB,carton,0
scen2_4,soda,SSB,bag_in_box,0
scen2_4,tea,non_SSB,alum_can,899.9807637184596
scen2_4,tea,non_SSB,glass,1865.4367320725505
scen2_4,tea,non_SSB,plastic,5121.493462600721
scen2_4,tea,non_SSB,bag_in_box,9062.289041608268
scen2_4,tea,SSB,alum_can,0
scen2_4,tea,SSB,glass,0
scen2_4,tea,SSB,plastic,0
scen2_4,tea,SSB,bag_in_box,0
scen2_4,water_bottled,non_SSB,plastic,104488.89
scen2_4,water_ucsb,non_SSB,steel_bott_reuse,628331.98
scen3_1,coffee,non_SSB,alum_can,0
scen3_1,coffee,non_SSB,glass,0
scen3_1,coffee,non_SSB,plastic,0
scen3_1,coffee,SSB,alum_can,0
scen3_1,coffee,SSB,glass,0
scen3_1,coffee,SSB,plastic,0
scen3_1,coffee_milk,non_SSB,alum_can,0
scen3_1,coffee_milk,non_SSB,glass,0
scen3_1,coffee_milk,non_SSB,plastic,0
scen3_1,coffee_milk,SSB,alum_can,0
scen3_1,coffee_milk,SSB,glass,0
scen3_1,coffee_milk,SSB,plastic,0
scen3_1,juice,non_SSB,alum_can,0
scen3_1,juice,non_SSB,glass,0
scen3_1,juice,non_SSB,plastic,0
scen3_1,juice,non_SSB,carton,0
scen3_1,juice,SSB,alum_can,0
scen3_1,juice,SSB,glass,0
scen3_1,juice,SSB,plastic,0
scen3_1,juice,SSB,carton,0
scen3_1,juice,SSB,bag_in_box,0
scen3_1,milk_almond,non_SSB,carton,0
scen3_1,milk_almond,SSB,plastic,0
scen3_1,milk_almond,SSB,carton,0
scen3_1,milk_an,non_SSB,plastic,0
scen3_1,milk_an,non_SSB,carton,0
scen3_1,milk_an,SSB,plastic,0
scen3_1,milk_an,SSB,carton,0
scen3_1,milk_an,SSB,bag_in_box,0
scen3_1,milk_other_plant,non_SSB,carton,0
scen3_1,milk_other_plant,non_SSB,bag_in_box,0
scen3_1,milk_other_plant,SSB,carton,0
